,deserialize_50_nanos,deserialize_999_nanos,deserialize_99_nanos,deserialize_total_nanos,protocol,run_date,run_format,serialize_50_nanos,serialize_999_nanos,serialize_99_nanos,serialize_total_nanos,total_secs
0,349,1527,695,11966582359,Cap'n Proto Unpacked,20190903,,277,2847,1847,10610112294,133
1,515,2239,1019,16896101525,Cap'n Proto Packed,20190903,,419,2991,1831,15139942312,146
2,159,931,387,5547316870,Flatbuffers,20190903,,351,3455,2127,14112670600,134
3,98,551,238,3425356927,SBE,20190903,,94,2447,1551,4012425273,122
4,341,1071,547,7944038397,Cap'n Proto Unpacked,20190904,,252,2719,1783,7030607508,94
5,559,2303,1223,14483817329,Cap'n Proto Packed,20190904,,397,2879,1663,10127533459,106
6,198,823,387,4768337696,Flatbuffers,20190904,,349,3231,2079,9878993693,97
7,91,385,179,2209115647,SBE,20190904,,86,2431,1439,2671614209,86
8,345,1263,563,9460799943,Cap'n Proto Unpacked,20190905,,261,3727,1927,9057074813,126
9,485,2175,995,14340697223,Cap'n Proto Packed,20190905,,401,2991,1759,11997695361,129
10,144,699,289,4126360715,Flatbuffers,20190905,,371,3423,2271,12366033351,117
11,129,595,257,3651287108,SBE,20190905,,100,2511,1463,3574370390,107
12,351,1583,815,10076105266,Cap'n Proto Unpacked,20190906,,252,2735,1807,7625656659,104
13,463,2287,1183,13154726633,Cap'n Proto Packed,20190906,,393,2879,1711,10913694372,112
14,200,1087,559,5227382663,Flatbuffers,20190906,,349,3631,2239,10932412894,108
15,138,595,285,3672591060,SBE,20190906,,88,2991,1479,3092868157,100
16,351,1487,687,11946201560,Cap'n Proto Unpacked,20190903,,252,2767,1807,9905662890,132
17,511,2223,1159,17562039278,Cap'n Proto Packed,20190903,,401,2975,1743,14506234496,146
18,158,891,379,5496091881,Flatbuffers,20190903,,359,3503,2271,14348322976,135
19,116,607,267,4015318899,SBE,20190903,,94,2495,1455,4062744461,123
20,347,1375,807,8665543455,Cap'n Proto Unpacked,20190904,,321,2831,1863,8610091709,108
21,531,1847,959,12572449473,Cap'n Proto Packed,20190904,,451,2991,1759,11555620464,118
22,157,667,307,3832450768,Flatbuffers,20190904,,339,3663,2255,9894312928,111
23,100,421,200,2446297310,SBE,20190904,,79,2463,1567,2554367494,101
24,319,1207,555,9138598200,Cap'n Proto Unpacked,20190905,,275,2815,1831,8939091362,123
25,551,2367,1215,16639409024,Cap'n Proto Packed,20190905,,411,2879,1687,12171151368,133
26,161,787,325,4626524565,Flatbuffers,20190905,,357,3311,2095,11783649631,114
27,96,461,204,2778757729,SBE,20190905,,89,2399,1527,3209222021,104
28,323,1167,547,8494076435,Cap'n Proto Unpacked,20190906,,269,3295,1863,8265869438,105
29,671,2719,1559,18287756861,Cap'n Proto Packed,20190906,,411,3023,1671,11637011289,120
30,152,731,307,4081200595,Flatbuffers,20190906,,341,3615,2223,10729723888,107
31,99,475,208,2684279931,SBE,20190906,,86,2415,1535,2868258377,97
32,367,1847,827,13343502076,Cap'n Proto Unpacked,20190903,,265,2831,1839,10386891305,139
33,547,2591,1247,19641152323,Cap'n Proto Packed,20190903,,395,2895,1767,14225137874,147
34,160,935,391,5577542222,Flatbuffers,20190903,,345,3391,2095,13876256852,133
35,96,531,229,3335479178,SBE,20190903,,87,2415,1535,3777230114,121
36,419,1263,771,9523533769,Cap'n Proto Unpacked,20190904,,275,2783,1791,7606033442,106
37,531,1831,975,12565102713,Cap'n Proto Packed,20190904,,411,2847,1679,10362096764,111
38,199,1047,465,5195965525,Flatbuffers,20190904,,359,3103,1999,10037401358,99
39,97,415,197,2388270596,SBE,20190904,,101,2431,1543,3010075554,90
40,411,1847,835,13662693913,Cap'n Proto Unpacked,20190903,,311,3231,1887,12008667500,147
41,539,2783,1247,19133536343,Cap'n Proto Packed,20190903,,437,2991,1839,15756665020,153
42,177,1223,483,6705480338,Flatbuffers,20190903,,365,3535,2207,14619297706,153
43,95,523,227,3323421801,SBE,20190903,,93,2431,1543,4014654531,137
44,355,1263,663,8749249383,Cap'n Proto Unpacked,20190904,,261,2783,1799,7334251703,107
45,571,2143,1215,14809332792,Cap'n Proto Packed,20190904,,393,2831,1655,9972659997,113
46,162,683,313,3936594560,Flatbuffers,20190904,,357,3279,2111,10168437728,101
47,151,611,299,3666207674,SBE,20190904,,81,2367,1503,2511717496,89
48,345,1287,567,9474129471,Cap'n Proto Unpacked,20190905,,265,2735,1775,8653449895,111
